VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	ATTELEC	ATTFIRE	ATTICE	ATTWIND	ATTEARTH	ATTDARK	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
101	??	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	20	24	252	6	7	18	27	15	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	??	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	23	28	324	6	7	23	34	39	6	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	????	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	25	30	364	6	7	25	38	51	7	100	130	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	????	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	25	38	450	6	7	30	45	75	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	?? ????	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	594	6	7	37	56	111	13	80	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	????	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	40	49	824	6	7	47	70	159	17	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	?? ????	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	1228	6	12	80	120	234	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	???	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	30	37	496	6	7	32	49	87	11	80	100	30	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	?? ???	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	778	3	7	56	84	148	14	80	100	30	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	?	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	39	47	762	6	7	44	67	147	16	100	70	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
